"","Symbol","Company.Name","Sector","Industry"
"613","UCP",NA,NA,NA
"614","DOC","Physicians Realty Trust","Financial","REIT - Healthcare Facilities"
"615","WHFBL","WhiteHorse Finance, Inc.",NA,NA
"616","GRAM","Graña y Montero S.A.A.","Services","Technical Services"
"617","CTRL","Control4 Corporation","Technology","Diversified Electronics"
"618","ASC","Ardmore Shipping Corporation","Services","Shipping"
"619","TPRE","Third Point Reinsurance Ltd.","Financial","Property & Casualty Insurance"
"620","ZBK","Zions Bancorporation",NA,NA
"621","FMI","Foundation Medicine, Inc.","Healthcare","Medical Laboratories & Research"
"622","PINC","Premier, Inc.","Technology","Healthcare Information Services"
"623","RNG","RingCentral, Inc.","Technology","Application Software"
"624","RMAX","RE/MAX Holdings, Inc.","Financial","Property Management"
"625","ESRT","Empire State Realty Trust, Inc.","Financial","REIT - Diversified"
"626","FTD","FTD Companies, Inc.","Services","Specialty Retail, Other"
"627","VJET","Voxeljet AG","Technology","Computer Peripherals"
"628","WUBA","58.com Inc.","Technology","Internet Information Providers"
"629","WIX","Wix.com Ltd.","Technology","Internet Information Providers"
"630","GMZ","Goldman Sachs MLP Income Opportunities Fund",NA,NA
"631","VLP","Valero Energy Partners LP","Basic Materials","Oil & Gas Pipelines"
"632","HLT","Hilton Worldwide Holdings Inc.","Services","Lodging"
"633","AMC","AMC Entertainment Holdings, Inc.","Services","Movie Production, Theaters"
"634","SC","Santander Consumer USA Holdings Inc.","Financial","Mortgage Investment"
"635","VER.PF",NA,NA,NA
"636","JMPC","JMP Group LLC",NA,NA
"637","ATEN","A10 Networks, Inc.","Technology","Communication Equipment"
"638","TSLX",NA,NA,NA
"639","NORD","Nord Anglia Education, Inc.","Services","Education & Training Services"
"640","TNET","TriNet Group, Inc.","Services","Business Services"
"641","FPL",NA,NA,NA
"642","JMLP","Nuveen All Cap Energy MLP Opportunities Fund",NA,NA
"643","TWOU","2U, Inc.","Technology","Application Software"
"644","HIVE","Aerohive Networks, Inc.","Technology","Communication Equipment"
"645","SSWN","Seaspan Corporation",NA,NA
"646","FSIC",NA,NA,NA
"647","WB","Weibo Corporation","Technology","Internet Information Providers"
"648","SPWH","Sportsman's Warehouse Holdings, Inc.","Consumer Goods","Sporting Goods"
"649","SB.PC",NA,NA,NA
"650","GLOP","GasLog Partners LP","Services","Shipping"
"651","PBFX","PBF Logistics LP","Basic Materials","Oil & Gas Pipelines"
"652","ABRN","Arbor Realty Trust, Inc.",NA,NA
"653","GLADO","Gladstone Capital Corporation",NA,NA
"654","CVEO","Civeo Corporation","Services","Business Services"
"655","VNOM","Viper Energy Partners LP","Basic Materials","Independent Oil & Gas"
"656","CCS","Century Communities, Inc.","Industrial Goods","Residential Construction"
"657","INFO","IHS Markit Ltd.","Services","Business Services"
"658","FNFV","Fidelity National Financial Ventures",NA,NA
"659","TSQ","Townsquare Media, Inc.","Services","Broadcasting - Radio"
"660","OXLCN",NA,NA,NA
"661","FCB","FCB Financial Holdings, Inc.","Financial","Regional - Southeast Banks"
"662","GNBC","Green Bancorp, Inc.","Financial","Money Center Banks"
"663","CALA","Calithera Biosciences, Inc.","Healthcare","Biotechnology"
"664","ZAYO","Zayo Group Holdings, Inc.","Technology","Networking & Communication Devices"
"665","SHLX","Shell Midstream Partners, L.P.","Basic Materials","Oil & Gas Pipelines"
"666","LBRDK","Liberty Broadband Corporation","Services","Broadcasting - TV"
"667","SBLKL","Star Bulk Carriers Corp.",NA,NA
"668","GAINO","Gladstone Investment Corporation",NA,NA
"669","STOR","STORE Capital Corporation",NA,NA
"670","NEFF","Neff Corporation",NA,NA
"671","HIE","Miller/Howard High Income Equity Fund",NA,NA
"672","KLXI","KLX Inc.","Industrial Goods","Aerospace/Defense Products & Services"
"673","PRSC","The Providence Service Corporation","Healthcare","Specialized Health Services"
"674","URBN","Urban Outfitters, Inc.","Services","Apparel Stores"
"675","JNP","Juniper Pharmaceuticals, Inc.","Healthcare","Drugs - Generic"
"676","RYAAY","Ryanair Holdings plc",NA,NA
"677","TICC","TICC Capital Corp.","Financial","Closed-End Fund - Debt"
"678","PRGX","PRGX Global, Inc.","Services","Business Services"
"679","AEGN","Aegion Corporation","Industrial Goods","Heavy Construction"
"680","BPFH","Boston Private Financial Holdings, Inc.","Financial","Regional - Northeast Banks"
"681","GOV","Government Properties Income Trust","Financial","REIT - Office"
"682","CSQ","Calamos Strategic Total Return Fund",NA,NA
"683","HDS","HD Supply Holdings, Inc.","Services","Industrial Equipment Wholesale"
"684","NCTY","The9 Limited","Technology","Multimedia & Graphics Software"
"685","EZT","Entergy Texas, Inc.",NA,NA
"686","AJX","Great Ajax Corp","Financial","REIT - Diversified"
"687","RELY","Real Industry, Inc.","Industrial Goods","Waste Management"
"688","ADRO","Aduro BioTech, Inc.","Healthcare","Biotechnology"
"689","NYMTO","New York Mortgage Trust, Inc.",NA,NA
"690","AFSS","AmTrust Financial Services, Inc.",NA,NA
"691","TDOC","Teladoc, Inc.","Technology","Healthcare Information Services"
"692","BUFF","Blue Buffalo Pet Products, Inc.","Consumer Goods","Food - Major Diversified"
"693","PLNT","Planet Fitness, Inc.","Services","Sporting Activities"
"694","GBLIZ","Global Indemnity Limited",NA,NA
"695","SRCLP","Stericycle, Inc.",NA,NA
"696","GAME",NA,NA,NA
"697","PFGC","Performance Food Group Company",NA,NA
"698","NVCR","NovoCure Limited",NA,NA
"699","SOJA","The Southern Company",NA,NA
"700","SBBP","Strongbridge Biopharma plc",NA,NA
"701","EXTN","Exterran Corporation",NA,NA
"702","VYGR","Voyager Therapeutics, Inc.",NA,NA
"703","ACG",NA,NA,NA
"704","MIME","Mimecast Limited",NA,NA
"705","TCRZ",NA,NA,NA
"706","MCX","Medley Capital Corporation",NA,NA
"707","EDIT","Editas Medicine, Inc.",NA,NA
"708","LMHA","Legg Mason, Inc.",NA,NA
"709","UA","Under Armour, Inc.","Consumer Goods","Textile - Apparel Clothing"
"710","BTU","Peabody Energy Corporation","Basic Materials","Industrial Metals & Minerals"
